names,GK vs. WKY
Pik3r1_Ilk,4.916091
Gatm_Aldh3a2,4.8722954
Enpp1_Acp5,4.8722954
Utp3_Exosc5,4.8613462
Pik3r1_Cblb,4.8613462
Rad52_Lig4,4.8613462
Pik3r1_Gab1,4.850397
Comt_Aldh3a1,4.8394485
Enpp3_Acp5,4.8284993
Exosc5_Emg1,4.8284993
Pik3r1_Csf1r,4.81755
Comt_Aldh1a1,4.81755
Trak2_Kif5a,4.81755
Enpp1_Art2b,4.7847033
Gatm_Asl,4.7737546
Nup58_Cpsf4,4.7737546
Igf2r_Cpd,4.7518563
Exosc5_Ddx49,4.7518563
Hspa4_Dnajb6,4.7518563
Hspa9_Dnajb6,4.7518563
Gstz1_Folh1,4.7409077
Tgm2_Lrp5,4.7409077
Pdcd11_Exosc5,4.7409077
Gatm_Gamt,4.7190094
Suclg1_Bckdhb,4.7190094
Dbh_Comt,4.7190094
Hspa12b_Dnajb6,4.7190094
Hikeshi_Dnajb6,4.7080607
Psme3_Galm,4.6971116
RGD1559459_Comt,4.6971116
Utp20_Exosc5,4.6861625
Pdhx_Bckdhb,4.6642647
Tgm2_Itgb3,4.6533155
Dlst_Bckdhb,4.6533155
Ppib_Pdia3,4.6533155
Ldhc_Bckdhb,4.6314178
Enpp1_Adk,4.6314178
Pomk_Fktn,4.6204686
Becn1_Atg10,4.6204686
Tie1_Angpt2,4.598571
mrpl9_Mrpl1,4.598571
Exosc5_Dhx37,4.598571
Gatm_Arg1,4.5876217
Vps72_Cfdp1,4.5876217
Ednrb_Edn1,4.576673
Wdr3_Utp4,4.565724
Gnaq_Ednrb,4.5547748
Hspa14_Dnajb6,4.5547748
Exosc5_Ddx52,4.5547748
Nhej1_Lig4,4.5547748
Pank2_Enpp1,4.5547748
Gcsh_Bckdhb,4.543826
Rgl2_Ralb,4.532877
Gnao1_Ednrb,4.521928
Tti1_Mtor,4.510979
Pex3_Abcd2,4.50003
Wdr61_Cdc73,4.50003
F2_Ednrb,4.50003
Exosc5_Bms1,4.50003
Ppm1k_Bckdhb,4.50003
Mccc1_Bckdhb,4.489081
Prkdc_Lig4,4.489081
Utp4_Exosc10,4.4781322
Nfe2_Maff,4.4781322
Vegfb_Flt1,4.4781322
Ednrb_Edn2,4.4781322
Polm_Lig4,4.467183
Prkcd_Ifngr1,4.456234
Pex14_Gdap1,4.445285
Nup133_Cpsf4,4.445285
Sclt1_Odf2,4.434336
Sdsl_Bckdhb,4.434336
Krr1_Exosc5,4.434336
Ywhaz_Pik3r1,4.434336
Gla_Galm,4.434336
Sema6a_Plxna2,4.423387
Tgm2_Plcd1,4.423387
Wdr46_Exosc5,4.423387
Pdia3_Hsp90b1,4.423387
Prkcz_C1qbp,4.412438
Pdia3_Calr,4.412438
Gstz1_Gstm2,4.4014893
Qdpr_Dhfr,4.4014893
Tyk2_Ifngr1,4.39054
Lao1_Bckdhb,4.379591
Pklr_Enpp1,4.379591
Gatm_Aldh7a1,4.3686423
Galm_G6pc3,4.3686423
Kyat3_Afmid,4.3686423
Cpsf4_Aaas,4.357693
Stat4_Ifngr1,4.357693
Nup205_Cpsf4,4.346744
Qdpr_Adhfe1,4.346744
Creb3l3_Atf4,4.346744
Gdap1_Abcd2,4.346744
Pex14_Abcd2,4.3357954
Jak3_Ifngr1,4.3357954
Sdc3_Cspg4,4.3357954
Slc25a17_Abcd2,4.3248463
Xrcc6_Lig4,4.3248463
Ndc1_Cpsf4,4.3248463
Galm_Galk1,4.3248463
Hk2_Galm,4.313897
Pdia3_Canx,4.313897
Gtf2h1_Cdk7,4.313897
Dld_Bckdhb,4.313897
Utp4_Rsl1d1,4.3029485
Gna15_Ednrb,4.2919993
Ldhc_Bcat2,4.28105
Galm_Adpgk,4.28105
Eif2ak3_Atf4,4.28105
Poll_Lig4,4.2701015
Slc7a10_Slc3a2,4.2701015
Gna14_Ednrb,4.2482033
Prkar1b_Akap10,4.2482033
Lig4_Dclre1c,4.2372546
Mphosph10_Exosc5,4.2263055
Ddc_Comt,4.2153563
Tti1_Ruvbl1,4.2153563
Bckdha_Bcat2,4.2153563
Ifngr1_Camk2a,4.2044077
Prkar2a_Akap10,4.1934586
Ppp1r15a_Ppp1ca,4.1934586
Utp14a_Exosc5,4.1825094
Imp4_Exosc5,4.1825094
Enpp1_Dck,4.171561
Gclc_Bcat2,4.1496625
Phlpp1_Fkbp5,4.138714
Wdr12_Ddx51,4.138714
Hgd_Gstz1,4.138714
Slc25a17_Gdap1,4.1277647
Vegfb_Pgf,4.1277647
Ap5m1_Ap2s1,4.1277647
Cpsf4_Clp1,4.1277647
Utp4_Pdcd11,4.1168156
Gstz1_Fahd1,4.1168156
Exosc5_Bysl,4.1168156
Gna11_Ednrb,4.1168156
Gstz1_Ggh,4.105867
Ifngr1_Ifnar1,4.105867
Pdia3_Hspa5,4.105867
Socs1_Ifngr1,4.105867
Utp4_Ddx49,4.105867
Rbp4_Rbp2,4.094918
Taldo1_Gpi,4.07302
Dbt_Bcat2,4.07302
Pklr_Ntpcr,4.062071
Tm7sf2_Ebp,4.062071
Hpgds_Gstz1,4.062071
Qdpr_Adk,4.062071
Hsph1_Dnajb6,4.0511217
Cyp2j4_Alox12,4.0511217
Gnai2_Ednrb,4.040173
Trub2_Rpusd4,4.040173
Tgoln2_Ap3s1,4.040173
Vegfb_Flt4,4.040173
Gtf2h2_Cdk7,4.040173
Mrps16_Mrpl1,4.029224
Pik3r1_Grb10,4.018275
Vegfb_Tek,4.018275
Sigmar1_Agmo,4.018275
Sox17_Foxa2,4.007326
Mnat1_Ccnh,3.996377
Tti1_Telo2,3.996377
Mnat1_Ccne2,3.996377
Snapin_Ap3s1,3.985428
Pik3r1_Cdc42,3.985428
Nup35_Cpsf4,3.985428
Utp4_Bms1,3.974479
Ldhb_Bckdhb,3.96353
Sema6a_Plxna1,3.96353
Gdap1_Abcd3,3.96353
Comt_Adh7,3.9525812
Bckdhb_Acadsb,3.9525812
Hyou1_Ankrd45,3.9525812
Pdgfrb_Angpt2,3.9525812
Rbp4_Ces1d,3.941632
Tbp_Mnat1,3.9306831
Lig4_Aptx,3.9306831
Pdia3_Erp27,3.9306831
Nmrk1_Enpp1,3.9306831
Cyp2u1_Cyp2j4,3.9306831
Pygl_Phkb,3.9197342
Gmps_Enpp1,3.9197342
Ntpcr_Nme7,3.9197342
Rps6ka3_Atf4,3.908785
Ifngr1_Camk2d,3.8978362
Rbbp6_Cpsf4,3.8868873
Fis1_Abcd2,3.8868873
Spint2_Mst1,3.8868873
Gstz1_Fahd2a,3.8759382
Pdcd11_Ddx51,3.8759382
Nup98_Cpsf4,3.8759382
Pex26_Abcd2,3.8649893
Ntpcr_Entpd3,3.8649893
Ranbp2_Cpsf4,3.8649893
Bckdhb_Acads,3.8649893
Ppcdc_Enpp1,3.8649893
Dbt_Bckdhb,3.8540404
Tbp_Taf10,3.8540404
Cstf2_Cpsf4,3.8540404
Nup50_Cpsf4,3.8540404
Gstm4_Gsta1,3.8540404
Tgm2_Fn1,3.8430912
Noc4l_Exosc5,3.8430912
Tgm2_Itgb1,3.8430912
Gpi_Eno1,3.8321424
Gatm_Aldh9a1,3.8321424
Fip1l1_Cpsf4,3.8211932
Rufy1_Rab4a,3.8211932
Papola_Cpsf4,3.8102443
Stat3_Pdia3,3.8102443
Pole4_Orc4,3.8102443
Stra6_Rbp4,3.7992954
Entpd4_Enpp1,3.7883463
Orc5_Mcm2,3.7773974
Pnmt_Comt,3.7773974
Polr2d_Mnat1,3.7773974
